Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AdminFlow,,,,2022-07-04 19:05:37,2022-07-04 19:07:25,1m - 48.515s,FAILED
,,,,,,,
Test Cases/Admin/TS1_Authori/TC_Login,,,,2022-07-04 19:05:37,2022-07-04 19:05:47,9.993s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-07-04 19:05:39,2022-07-04 19:05:47,8.794s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-07-04 19:05:47,2022-07-04 19:05:47,0.001s,PASSED
result = slurper.parseText(rslt.getResponseBodyContent()),,,,2022-07-04 19:05:47,2022-07-04 19:05:47,0.024s,PASSED
value = token,,,,2022-07-04 19:05:47,2022-07-04 19:05:47,0.002s,PASSED
token = value,,,,2022-07-04 19:05:47,2022-07-04 19:05:47,0.001s,PASSED
println(token),,,,2022-07-04 19:05:47,2022-07-04 19:05:47,0.005s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get All City,,,,2022-07-04 19:05:48,2022-07-04 19:05:52,4.078s,PASSED
"for ([i = 0, i < 2, (i++)])",,,,2022-07-04 19:05:48,2022-07-04 19:05:52,3.439s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get One City,,,,2022-07-04 19:05:52,2022-07-04 19:05:56,4.643s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-07-04 19:05:52,2022-07-04 19:05:56,3.868s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Create One,,,,2022-07-04 19:05:56,2022-07-04 19:06:07,10.304s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-04 19:05:57,2022-07-04 19:06:07,9.554s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-07-04 19:06:07,2022-07-04 19:06:07,0.001s,PASSED
result = slurper.parseText(rslt.getResponseBodyContent()),,,,2022-07-04 19:06:07,2022-07-04 19:06:07,0.001s,PASSED
value = id,,,,2022-07-04 19:06:07,2022-07-04 19:06:07,0.000s,PASSED
admin_CreateID = value,,,,2022-07-04 19:06:07,2022-07-04 19:06:07,0.001s,PASSED
println(admin_CreateID),,,,2022-07-04 19:06:07,2022-07-04 19:06:07,0.000s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Update City,,,,2022-07-04 19:06:07,2022-07-04 19:06:17,10.283s,PASSED
dump = admin_CreateID,,,,2022-07-04 19:06:07,2022-07-04 19:06:07,0.001s,PASSED
"for ([i = 0, i < 9, (i++)])",,,,2022-07-04 19:06:07,2022-07-04 19:06:17,9.567s,PASSED
admin_CreateID = dump,,,,2022-07-04 19:06:17,2022-07-04 19:06:17,0.000s,PASSED
println(admin_CreateID),,,,2022-07-04 19:06:17,2022-07-04 19:06:17,0.000s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Delete,,,,2022-07-04 19:06:17,2022-07-04 19:06:21,3.828s,PASSED
dump = admin_CreateID,,,,2022-07-04 19:06:18,2022-07-04 19:06:18,0.001s,PASSED
