Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"admin_buildingDesc = ""desc""",,,,2022-07-01 15:35:20,2022-07-01 15:35:20,0.000s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-01 15:35:20,2022-07-01 15:35:30,9.761s,PASSED
,,,,,,,
Test Cases/Admin/TS2_Building Management/TC_UpdateBuilding,,,,2022-07-01 15:35:30,2022-07-01 15:35:47,16.906s,FAILED
"admin_buildingComplexID = ""1""",,,,2022-07-01 15:35:30,2022-07-01 15:35:30,0.000s,PASSED
"admin_buildingName = ""Building Name""",,,,2022-07-01 15:35:30,2022-07-01 15:35:30,0.000s,PASSED
"admin_buildingAddress = ""jalan""",,,,2022-07-01 15:35:30,2022-07-01 15:35:30,0.000s,PASSED
"admin_buildingDesc = ""desc""",,,,2022-07-01 15:35:30,2022-07-01 15:35:30,0.016s,PASSED
dump = admin_BuildingID,,,,2022-07-01 15:35:30,2022-07-01 15:35:30,0.000s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-01 15:35:30,2022-07-01 15:35:47,16.296s,FAILED
,,,,,,,
Test Cases/Admin/TS2_Building Management/TC_Delete Building,,,,2022-07-01 15:35:47,2022-07-01 15:35:52,5.361s,PASSED
dump = admin_BuildingID,,,,2022-07-01 15:35:47,2022-07-01 15:35:47,0.000s,PASSED
"for ([i = 0, i < 3, (i++)])",,,,2022-07-01 15:35:47,2022-07-01 15:35:52,4.802s,PASSED
