Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FacilityRun,,,,2022-07-22 18:40:02,2022-07-22 18:41:22,1m - 19.373s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Facility/TC_Create New Facility,,,,2022-07-22 18:40:03,2022-07-22 18:40:36,32.687s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-22 18:40:04,2022-07-22 18:40:36,31.510s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-07-22 18:40:36,2022-07-22 18:40:36,0.000s,PASSED
result = slurper.parseText(rslt.getResponseBodyContent()),,,,2022-07-22 18:40:36,2022-07-22 18:40:36,0.001s,PASSED
value = id,,,,2022-07-22 18:40:36,2022-07-22 18:40:36,0.002s,PASSED
admin_FacilityID = value,,,,2022-07-22 18:40:36,2022-07-22 18:40:36,0.001s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Facility/TC_Update Facility,,,,2022-07-22 18:40:36,2022-07-22 18:40:55,19.356s,PASSED
dump = admin_FacilityID,,,,2022-07-22 18:40:36,2022-07-22 18:40:36,0.000s,PASSED
"admin_facilityName = ""biar ga kosong""",,,,2022-07-22 18:40:36,2022-07-22 18:40:36,0.000s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-22 18:40:36,2022-07-22 18:40:55,18.630s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Facility/TC_Get All Facility,,,,2022-07-22 18:40:55,2022-07-22 18:41:01,5.955s,PASSED
"for ([i = 0, i < 2, (i++)])",,,,2022-07-22 18:40:56,2022-07-22 18:41:01,5.321s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Facility/TC_Get Dropdown,,,,2022-07-22 18:41:01,2022-07-22 18:41:05,3.741s,PASSED
dump = token,,,,2022-07-22 18:41:01,2022-07-22 18:41:01,0.001s,PASSED
"for ([i = 0, i < 2, (i++)])",,,,2022-07-22 18:41:01,2022-07-22 18:41:05,3.155s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Facility/TC_Get One Facility,,,,2022-07-22 18:41:05,2022-07-22 18:41:14,9.362s,PASSED
dump = admin_FacilityID,,,,2022-07-22 18:41:05,2022-07-22 18:41:05,0.001s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-07-22 18:41:05,2022-07-22 18:41:14,8.647s,PASSED
admin_FacilityID = dump,,,,2022-07-22 18:41:14,2022-07-22 18:41:14,0.000s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Facility/TC_Delete Facility,,,,2022-07-22 18:41:14,2022-07-22 18:41:22,7.644s,PASSED
dump = admin_FacilityID,,,,2022-07-22 18:41:15,2022-07-22 18:41:15,0.003s,PASSED
"for ([i = 0, i < 3, (i++)])",,,,2022-07-22 18:41:15,2022-07-22 18:41:22,6.931s,PASSED
