Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BuildingRun,,,,2022-07-01 15:31:32,2022-07-01 15:32:21,48.980s,FAILED
,,,,,,,
Test Cases/Admin/TS2_Building Management/TC_GetAlllBuilding,,,,2022-07-01 15:31:33,2022-07-01 15:31:43,9.866s,PASSED
"for ([i = 0, i < 2, (i++)])",,,,2022-07-01 15:31:34,2022-07-01 15:31:43,9.067s,PASSED
,,,,,,,
Test Cases/Admin/TS2_Building Management/TC_GetOneBuilding,,,,2022-07-01 15:31:43,2022-07-01 15:31:50,6.904s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-07-01 15:31:44,2022-07-01 15:31:50,6.224s,PASSED
,,,,,,,
Test Cases/Admin/TS2_Building Management/TC_Create Building,,,,2022-07-01 15:31:50,2022-07-01 15:32:03,13.082s,FAILED
"admin_buildingComplexID = ""1""",,,,2022-07-01 15:31:50,2022-07-01 15:31:50,0.001s,PASSED
"admin_buildingName = ""nama""",,,,2022-07-01 15:31:50,2022-07-01 15:31:50,0.002s,PASSED
"admin_buildingAddress = ""jalan""",,,,2022-07-01 15:31:50,2022-07-01 15:31:50,0.001s,PASSED
"admin_buildingDesc = ""desc""",,,,2022-07-01 15:31:50,2022-07-01 15:31:50,0.000s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-01 15:31:50,2022-07-01 15:32:03,12.438s,FAILED
,,,,,,,
Test Cases/Admin/TS2_Building Management/TC_UpdateBuilding,,,,2022-07-01 15:32:03,2022-07-01 15:32:17,14.472s,FAILED
"admin_buildingComplexID = ""1""",,,,2022-07-01 15:32:04,2022-07-01 15:32:04,0.001s,PASSED
"admin_buildingName = ""Building Name""",,,,2022-07-01 15:32:04,2022-07-01 15:32:04,0.001s,PASSED
"admin_buildingAddress = ""jalan""",,,,2022-07-01 15:32:04,2022-07-01 15:32:04,0.001s,PASSED
"admin_buildingDesc = ""desc""",,,,2022-07-01 15:32:04,2022-07-01 15:32:04,0.000s,PASSED
dump = admin_BuildingID,,,,2022-07-01 15:32:04,2022-07-01 15:32:04,0.001s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-01 15:32:04,2022-07-01 15:32:17,13.798s,FAILED
,,,,,,,
Test Cases/Admin/TS2_Building Management/TC_Delete Building,,,,2022-07-01 15:32:17,2022-07-01 15:32:21,4.067s,PASSED
dump = admin_BuildingID,,,,2022-07-01 15:32:18,2022-07-01 15:32:18,0.001s,PASSED
"for ([i = 0, i < 3, (i++)])",,,,2022-07-01 15:32:18,2022-07-01 15:32:21,3.498s,PASSED
