Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BuildingRun,,,,2022-07-22 18:30:31,2022-07-22 18:32:02,1m - 30.879s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Building Management/TC_GetAlllBuilding,,,,2022-07-22 18:30:31,2022-07-22 18:30:47,16.046s,PASSED
"for ([i = 0, i < 2, (i++)])",,,,2022-07-22 18:30:32,2022-07-22 18:30:47,15.095s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Building Management/TC_GetOneBuilding,,,,2022-07-22 18:30:47,2022-07-22 18:31:01,13.620s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-07-22 18:30:48,2022-07-22 18:31:01,12.946s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Building Management/TC_Create Building,,,,2022-07-22 18:31:01,2022-07-22 18:31:27,25.642s,PASSED
"admin_buildingComplexID = ""1""",,,,2022-07-22 18:31:02,2022-07-22 18:31:02,0.001s,PASSED
"admin_buildingName = ""nama""",,,,2022-07-22 18:31:02,2022-07-22 18:31:02,0.000s,PASSED
"admin_buildingAddress = ""jalan""",,,,2022-07-22 18:31:02,2022-07-22 18:31:02,0.001s,PASSED
"admin_buildingDesc = ""desc""",,,,2022-07-22 18:31:02,2022-07-22 18:31:02,0.001s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-22 18:31:02,2022-07-22 18:31:27,24.845s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-07-22 18:31:27,2022-07-22 18:31:27,0.001s,PASSED
result = slurper.parseText(rslt.getResponseBodyContent()),,,,2022-07-22 18:31:27,2022-07-22 18:31:27,0.001s,PASSED
value = id,,,,2022-07-22 18:31:27,2022-07-22 18:31:27,0.000s,PASSED
admin_BuildingID = value,,,,2022-07-22 18:31:27,2022-07-22 18:31:27,0.001s,PASSED
println(admin_BuildingID),,,,2022-07-22 18:31:27,2022-07-22 18:31:27,0.001s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Building Management/TC_UpdateBuilding,,,,2022-07-22 18:31:27,2022-07-22 18:31:52,25.623s,PASSED
"admin_buildingComplexID = ""1""",,,,2022-07-22 18:31:27,2022-07-22 18:31:27,0.000s,PASSED
"admin_buildingName = ""Building Name""",,,,2022-07-22 18:31:27,2022-07-22 18:31:27,0.001s,PASSED
"admin_buildingAddress = ""jalan""",,,,2022-07-22 18:31:27,2022-07-22 18:31:27,0.001s,PASSED
"admin_buildingDesc = ""desc""",,,,2022-07-22 18:31:27,2022-07-22 18:31:27,0.000s,PASSED
dump = admin_BuildingID,,,,2022-07-22 18:31:27,2022-07-22 18:31:27,0.001s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-22 18:31:27,2022-07-22 18:31:52,24.920s,PASSED
,,,,,,,
Test Cases/Admin/TS4_Building Management/TC_Delete Building,,,,2022-07-22 18:31:52,2022-07-22 18:32:02,9.396s,PASSED
dump = admin_BuildingID,,,,2022-07-22 18:31:53,2022-07-22 18:31:53,0.001s,PASSED
"for ([i = 0, i < 3, (i++)])",,,,2022-07-22 18:31:53,2022-07-22 18:32:02,8.707s,PASSED
