Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CityRun,,,,2022-07-01 15:30:04,2022-07-01 15:30:54,50.026s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get All City,,,,2022-07-01 15:30:05,2022-07-01 15:30:13,8.735s,PASSED
"for ([i = 0, i < 2, (i++)])",,,,2022-07-01 15:30:06,2022-07-01 15:30:13,7.932s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get One City,,,,2022-07-01 15:30:14,2022-07-01 15:30:19,5.599s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-07-01 15:30:14,2022-07-01 15:30:19,4.969s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Create One,,,,2022-07-01 15:30:19,2022-07-01 15:30:33,13.636s,PASSED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-01 15:30:20,2022-07-01 15:30:33,12.852s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-07-01 15:30:33,2022-07-01 15:30:33,0.001s,PASSED
result = slurper.parseText(rslt.getResponseBodyContent()),,,,2022-07-01 15:30:33,2022-07-01 15:30:33,0.001s,PASSED
value = id,,,,2022-07-01 15:30:33,2022-07-01 15:30:33,0.000s,PASSED
admin_CreateID = value,,,,2022-07-01 15:30:33,2022-07-01 15:30:33,0.000s,PASSED
println(admin_CreateID),,,,2022-07-01 15:30:33,2022-07-01 15:30:33,0.000s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Update City,,,,2022-07-01 15:30:33,2022-07-01 15:30:49,16.001s,PASSED
dump = admin_CreateID,,,,2022-07-01 15:30:33,2022-07-01 15:30:33,0.000s,PASSED
"for ([i = 0, i < 9, (i++)])",,,,2022-07-01 15:30:33,2022-07-01 15:30:49,15.360s,PASSED
admin_CreateID = dump,,,,2022-07-01 15:30:49,2022-07-01 15:30:49,0.000s,PASSED
println(admin_CreateID),,,,2022-07-01 15:30:49,2022-07-01 15:30:49,0.000s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Delete,,,,2022-07-01 15:30:49,2022-07-01 15:30:54,5.423s,PASSED
dump = admin_CreateID,,,,2022-07-01 15:30:50,2022-07-01 15:30:50,0.001s,PASSED
"for ([i = 0, i < 3, (i++)])",,,,2022-07-01 15:30:50,2022-07-01 15:30:54,4.732s,PASSED
