Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AdminFlow,,,,2022-07-04 16:35:29,2022-07-04 16:38:24,2m - 54.705s,FAILED
,,,,,,,
Test Cases/Admin/TS1_Authori/TC_Login,,,,2022-07-04 16:35:29,2022-07-04 16:35:36,6.249s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-07-04 16:35:30,2022-07-04 16:35:36,5.722s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-07-04 16:35:36,2022-07-04 16:35:36,0.000s,PASSED
result = slurper.parseText(rslt.getResponseBodyContent()),,,,2022-07-04 16:35:36,2022-07-04 16:35:36,0.008s,PASSED
value = token,,,,2022-07-04 16:35:36,2022-07-04 16:35:36,0.001s,PASSED
token = value,,,,2022-07-04 16:35:36,2022-07-04 16:35:36,0.000s,PASSED
println(token),,,,2022-07-04 16:35:36,2022-07-04 16:35:36,0.003s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get All City,,,,2022-07-04 16:35:36,2022-07-04 16:35:38,2.608s,PASSED
"for ([i = 0, i < 2, (i++)])",,,,2022-07-04 16:35:36,2022-07-04 16:35:38,2.287s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get One City,,,,2022-07-04 16:35:38,2022-07-04 16:35:41,3.123s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-07-04 16:35:39,2022-07-04 16:35:41,2.822s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Create One,,,,2022-07-04 16:35:41,2022-07-04 16:35:51,9.848s,FAILED
"for ([i = 0, i < 8, (i++)])",,,,2022-07-04 16:35:42,2022-07-04 16:35:51,9.477s,FAILED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Update City,,,,2022-07-04 16:35:51,2022-07-04 16:35:59,7.690s,FAILED
dump = admin_CreateID,,,,2022-07-04 16:35:52,2022-07-04 16:35:52,0.001s,PASSED
"for ([i = 0, i < 9, (i++)])",,,,2022-07-04 16:35:52,2022-07-04 16:35:59,7.357s,FAILED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Delete,,,,2022-07-04 16:35:59,2022-07-04 16:36:06,7.489s,FAILED
dump = admin_CreateID,,,,2022-07-04 16:35:59,2022-07-04 16:35:59,0.000s,PASSED
"for ([i = 0, i < 3, (i++)])",,,,2022-07-04 16:35:59,2022-07-04 16:36:06,7.214s,FAILED
,,,,,,,
Test Cases/Admin/TS4_Complex/TC_Get All Complex,,,,2022-07-04 16:36:06,2022-07-04 16:36:14,7.507s,FAILED
"for ([i = 0, i < 2, (i++)])",,,,2022-07-04 16:36:07,2022-07-04 16:36:14,7.250s,FAILED
,,,,,,,
Test Cases/Admin/TS4_Complex/TC_Get One Complex,,,,2022-07-04 16:36:14,2022-07-04 16:36:22,7.622s,FAILED
"for ([i = 0, i < 4, (i++)])",,,,2022-07-04 16:36:14,2022-07-04 16:36:22,7.308s,FAILED
,,,,,,,
Test Cases/Admin/TS4_Complex/TC_Get Dropdown,,,,2022-07-04 16:36:22,2022-07-04 16:36:29,7.587s,FAILED
"for ([i = 0, i < 2, (i++)])",,,,2022-07-04 16:36:22,2022-07-04 16:36:29,7.328s,FAILED
,,,,,,,
Test Cases/Admin/TS4_Complex/TC_Create new Complex,,,,2022-07-04 16:36:29,2022-07-04 16:36:59,29.552s,FAILED
"for ([i = 0, i < 7, (i++)])",,,,2022-07-04 16:36:29,2022-07-04 16:36:59,29.232s,FAILED
slurper = new groovy.json.JsonSlurper(),,,,2022-07-04 16:36:59,2022-07-04 16:36:59,0.000s,PASSED
result = slurper.parseText(rslt.getResponseBodyContent()),,,,2022-07-04 16:36:59,2022-07-04 16:36:59,0.001s,ERROR
,,,,,,,
Test Cases/Admin/TS4_Complex/TC_Update Complex,,,,2022-07-04 16:36:59,2022-07-04 16:37:28,29.557s,FAILED
dump = admin_ComplexID,,,,2022-07-04 16:36:59,2022-07-04 16:36:59,0.000s,PASSED
"admin_complexName = ""Anggrek Permai""",,,,2022-07-04 16:36:59,2022-07-04 16:36:59,0.000s,PASSED
